"id_envio","peso","volumen","valor_declarado","tipo_producto","origen","destino","distancia","zona","fecha_envio","dia_semana","mes","hora_salida","es_feriado","experiencia_conductor","tipo_vehiculo","antiguedad_vehiculo","capacidad_carga","clima","trafico_estimado","tiempo_estimado","retraso"
"ENV00016",37.9,5.35,247481,"ropa","Valparaíso","Concepción",1058.8,"urbana",2023-08-23,"miercoles","august",6,FALSE,3,"camion_mediano",7,6762,"despejado",NA,26.9,"No"
"ENV00017",15.1,2.39,37804,"electronica","La Serena","Iquique",1231.1,"urbana",2023-03-28,"martes","march",9,FALSE,3,"camion_grande",6,11400,"despejado",10,41.9,"Si"
"ENV00018",1.4,14.71,614609,"alimentos","Copiapó","Los Ángeles",252.1,"urbana",2023-10-22,"domingo","october",10,FALSE,3,"camion_grande",8,12801,"despejado",6,8.3,"No"
"ENV00019",1.7,33.48,616160,"alimentos","Santiago","Chillán",624.7,"urbana",2023-05-01,"lunes","may",7,TRUE,0,"camion_pequeno",5,3098,"nublado",10,15.6,"No"
"ENV00020",75.2,2.57,61737,"muebles","Valparaíso","Santiago",131.2,"urbana",2023-04-01,"sabado","april",8,FALSE,13,"camion_pequeno",0,2459,"despejado",NA,5,"No"
"ENV00021",14.8,7.11,292767,"ropa","Valparaíso","Santiago",134.9,"urbana",2023-04-29,"sabado","april",15,FALSE,11,"camion_mediano",3,5651,"lluvia",4,7.8,"No"
"ENV00022",3.4,1.49,62057,"otros","Santiago","Iquique",1033.9,"urbana",2023-01-26,"jueves","january",6,FALSE,10,"camion_pequeno",3,3292,"despejado",6,24.3,"No"
"ENV00023",16.9,3.68,40183,"otros","Santiago","Santiago",12.1,"urbana",2023-01-12,"jueves","january",8,FALSE,13,"camion_pequeno",6,3238,"nublado",8,3.7,"No"
"ENV00024",67.7,8.57,264788,"otros","Talca","Valparaíso",1201.4,"rural",2023-10-26,"jueves","october",7,FALSE,13,"camion_mediano",8,7928,"despejado",3,26.9,"Si"
"ENV00025",133.6,7.2,114069,"electronica","Santiago","Santiago",47.1,"urbana",2023-10-08,"domingo","october",9,FALSE,14,"camion_mediano",8,5663,"lluvia",7,6.9,"No"
"ENV00026",13.1,2,48896,"otros","Santiago","Santiago",24.5,"urbana",2023-06-07,"miercoles","june",8,FALSE,0,"camion_grande",12,14679,"lluvia",7,5.7,"Si"
"ENV00027",15.5,7.58,337882,"otros","Santiago","Santiago",35.5,"urbana",2023-08-08,"martes","august",13,FALSE,3,"camion_mediano",8,5314,"despejado",7,2.2,"No"
"ENV00028",3.4,5.8,245388,"alimentos","Santiago","Santiago",10.6,"urbana",2023-02-08,"miercoles","february",9,FALSE,22,"camion_pequeno",9,2703,"nublado",8,3.1,"Si"
"ENV00029",31.8,3.65,69353,"ropa","Calama","Calama",25,"urbana",2023-11-19,"domingo","november",14,FALSE,2,"camion_mediano",6,6933,"nublado",5,3.7,"No"
"ENV00030",10.6,7.15,87014,"muebles","Santiago","Puerto Montt",262.2,"urbana",2023-12-14,"jueves","december",12,FALSE,7,"camion_pequeno",4,2028,"despejado",5,7.9,"No"
"ENV00031",31.7,3.04,119657,"electronica","Copiapó","Valparaíso",1470.3,"urbana",2023-07-24,"lunes","july",8,FALSE,8,"camion_pequeno",5,3299,"lluvia",10,58.5,"Si"
"ENV00032",40.6,5.62,91246,"electronica","Santiago","Valdivia",145.4,"urbana",2023-07-23,"domingo","july",9,FALSE,11,"camion_pequeno",7,2894,"despejado",9,5.6,"No"
"ENV00033",56.5,10.82,357781,"ropa","Chillán","Antofagasta",1028.2,"rural",2023-07-16,"domingo","july",8,TRUE,19,"camion_pequeno",1,3173,"lluvia",2,22.3,"No"
"ENV00034",10.9,6.31,181925,"otros","Santiago","Puerto Montt",948.2,"rural",2023-03-29,"miercoles","march",13,FALSE,3,"furgon",0,1122,"despejado",4,20.8,"No"
"ENV00035",33.3,5.68,192817,"otros","Osorno","Valparaíso",842.1,"urbana",2023-07-29,"sabado","july",16,FALSE,2,"furgon",1,1140,"despejado",NA,19.3,"No"
"ENV00036",3.6,7.78,239175,"muebles","Temuco","Temuco",23.5,"urbana",2023-05-23,"martes","may",14,FALSE,NA,"camion_grande",10,14127,"lluvia",8,2.6,"Si"
"ENV00037",9.2,0.77,33696,"ropa","Santiago","Concepción",509.6,"urbana",2023-02-18,"sabado","february",9,FALSE,2,"camion_grande",13,13208,"nublado",8,18.9,"Si"
"ENV00038",8.6,4.88,201243,"otros","Santiago","Calama",685.2,"urbana",2023-03-09,"jueves","march",8,FALSE,8,"camion_mediano",6,7767,"lluvia",10,33.5,"No"
"ENV00039",1.8,3.14,92257,"alimentos","Santiago","Puerto Montt",227.5,"rural",2023-03-15,"miercoles","march",13,FALSE,5,"camion_pequeno",8,2383,"nublado",4,6.5,"No"
"ENV00040",20.8,2.79,85158,"alimentos","Copiapó","Iquique",1379,"urbana",2023-02-18,"sabado","february",11,FALSE,0,"furgon",1,1182,"despejado",8,32.4,"Si"
"ENV00041",24.7,2.2,86528,"ropa","Copiapó","Valparaíso",1187,"urbana",2023-03-13,"lunes","march",8,FALSE,2,"furgon",2,1147,"despejado",NA,29.3,"Si"
"ENV00042",14,7.88,142665,"documentos","Los Ángeles","Santiago",101.9,"urbana",2023-03-08,"miercoles","march",9,FALSE,3,"furgon",6,824,"nublado",10,6.8,"No"
"ENV00043",42.9,1.59,60664,"muebles","Valparaíso","Santiago",127.1,"urbana",2023-07-25,"martes","july",8,FALSE,1,"camion_grande",9,10352,"nublado",NA,7.8,"Si"
"ENV00044",9.7,1.61,46250,"muebles","Santiago","Puerto Montt",1222.8,"urbana",2023-04-19,"miercoles","april",10,FALSE,1,"camion_mediano",5,6500,"nublado",10,41.1,"Si"
"ENV00045",5.1,9.39,221132,"muebles","Santiago","Santiago",27.6,"urbana",2023-12-17,"domingo","december",9,FALSE,12,"camion_pequeno",4,3205,"nublado",5,2.6,"No"
"ENV00046",31,3.42,67924,"alimentos","Copiapó","Valparaíso",255.7,"urbana",2023-04-14,"viernes","april",6,FALSE,0,"camion_pequeno",4,2584,"viento",7,8.3,"No"
"ENV00047",8.9,4.11,109900,"electronica","Talca","Valdivia",831.5,"urbana",2023-05-18,"jueves","may",11,FALSE,0,"camion_pequeno",4,2845,"despejado",10,25.5,"Si"
"ENV00048",85.1,2.35,71190,"ropa","Puerto Montt","Concepción",205.7,"rural",2023-10-05,"jueves","october",9,FALSE,7,"camion_mediano",7,5888,"lluvia",7,11.8,"No"
"ENV00049",13,9.18,127069,"ropa","Puerto Montt","Chillán",1212.1,"urbana",2023-02-07,"martes","february",11,FALSE,16,"camion_pequeno",7,3465,"nublado",5,27,"No"
"ENV00050",38.7,1.82,88633,"ropa","Antofagasta","La Serena",119.7,"urbana",2023-12-08,"viernes","december",12,TRUE,5,"camion_pequeno",2,3139,"viento",7,4.9,"No"
"ENV00051",27.7,4.08,54421,"ropa","Iquique","Los Ángeles",353.1,"rural",2023-06-02,"viernes","june",17,FALSE,3,"camion_pequeno",5,2940,"nublado",2,8.7,"No"
"ENV00052",9.2,3.15,123857,"alimentos","Valparaíso","La Serena",625.2,"urbana",2023-04-05,"miercoles","april",8,FALSE,2,"camion_grande",12,11711,"despejado",10,21.8,"Si"
"ENV00053",97.1,3.79,122069,"ropa","Temuco","Concepción",269,"rural",2023-03-28,"martes","march",6,FALSE,3,"camion_pequeno",4,2361,"nublado",5,8.5,"Si"
"ENV00054",38.2,2.12,53044,"muebles","Copiapó","Santiago",975.7,"urbana",2023-08-12,"sabado","august",9,FALSE,25,"camion_pequeno",6,2531,"nublado",9,30.7,"Si"
"ENV00055",22,1.34,60508,"documentos","Santiago","Valparaíso",121.7,"urbana",2023-05-06,"sabado","may",18,FALSE,25,"camion_grande",6,13674,"viento",10,8.9,"No"
"ENV00056",26.5,1.03,29780,"otros","Santiago","Talca",172.2,"urbana",2023-07-10,"lunes","july",9,FALSE,6,"camion_mediano",6,5074,"despejado",10,8.1,"No"
"ENV00057",39.6,0.88,21888,"muebles","Santiago","Iquique",783.9,"urbana",2023-06-04,"domingo","june",16,FALSE,12,"camion_pequeno",2,3207,"despejado",6,17.3,"No"
"ENV00058",22,2.74,128752,"muebles","Valdivia","Santiago",983.9,"rural",2023-05-14,"domingo","may",6,FALSE,15,"camion_mediano",4,7683,"despejado",1,20.4,"No"
"ENV00059",1,2.55,79478,"electronica","La Serena","Santiago",1274.8,"urbana",2023-02-26,"domingo","february",9,FALSE,25,"camion_mediano",7,6078,"despejado",9,36.9,"No"
"ENV00060",26.7,2.14,68792,"ropa","Talca","Valdivia",337.2,"rural",2023-04-01,"sabado","april",17,FALSE,3,"camion_mediano",11,5687,"despejado",4,11.5,"No"
"ENV00061",13.9,4.12,120161,"electronica","Calama","Santiago",749,"urbana",2023-01-23,"lunes","january",10,FALSE,5,"camion_grande",13,10119,"nublado",10,30.4,"Si"
"ENV00062",24.2,4.49,190326,"ropa","Santiago","Santiago",46,"urbana",2023-04-03,"lunes","april",12,FALSE,1,"furgon",4,1151,"viento",8,2.2,"No"
"ENV00063",35.9,17.05,231888,"ropa","Temuco","Santiago",319.1,"rural",2023-12-27,"miercoles","december",11,FALSE,5,"camion_grande",5,12915,"nublado",1,10,"No"
"ENV00064",81.4,13.91,623660,"ropa","Santiago","Santiago",11.2,"urbana",2023-01-06,"viernes","january",13,FALSE,5,"camion_mediano",9,7896,"lluvia",9,2.7,"Si"
"ENV00065",9.7,2.65,61600,"ropa","Santiago","Valparaíso",124.8,"urbana",2023-02-01,"miercoles","february",10,FALSE,1,"camion_pequeno",6,2831,"despejado",7,5.1,"No"
"ENV00066",73.9,6.02,126762,"otros","Copiapó","Los Ángeles",1068.4,"rural",2023-11-11,"sabado","november",10,FALSE,7,"camion_mediano",5,6261,"despejado",4,26.2,"No"
"ENV00067",28.1,4.96,231391,"alimentos","Santiago","Santiago",16.7,"urbana",2023-04-03,"lunes","april",9,FALSE,24,"camion_mediano",5,7191,"despejado",7,3.2,"No"
"ENV00068",56.7,8.01,129785,"electronica","Talca","Concepción",117.2,"urbana",2023-05-08,"lunes","may",10,FALSE,3,"camion_grande",8,12959,"nublado",10,6.1,"No"
"ENV00069",50.4,9.93,352871,"ropa","Antofagasta","Santiago",1171.7,"urbana",2023-11-12,"domingo","november",15,FALSE,12,"furgon",2,1135,"nublado",6,25,"Si"
"ENV00070",41.3,8.13,102932,"muebles","Antofagasta","Santiago",456.3,"urbana",2023-02-28,"martes","february",11,FALSE,1,"camion_pequeno",6,2375,"despejado",5,9.8,"No"
"ENV00071",7.1,2.06,82648,"alimentos","Talca","La Serena",1233.2,"urbana",2023-07-12,"miercoles","july",11,FALSE,10,"camion_pequeno",4,2326,"despejado",8,30,"No"
"ENV00072",18.4,1.23,34060,"otros","Temuco","Santiago",329,"rural",2023-04-23,"domingo","april",14,FALSE,0,"camion_grande",7,13226,"despejado",2,9.4,"No"
"ENV00073",37.5,2.3,64749,"ropa","Los Ángeles","Valparaíso",531.6,"urbana",2023-03-19,"domingo","march",6,FALSE,4,"camion_mediano",5,7353,"despejado",5,12.9,"No"
"ENV00074",7.7,4.67,122899,"documentos","Puerto Montt","Santiago",111.6,"urbana",2023-05-09,"martes","may",8,FALSE,4,"camion_pequeno",4,2928,"lluvia",10,9,"Si"
"ENV00075",11.7,26.51,950889,"ropa","Antofagasta","Valparaíso",1108.4,"urbana",2023-01-30,"lunes","january",10,FALSE,8,"camion_pequeno",6,2934,"nublado",8,32.1,"No"
"ENV00076",35.9,16.02,322058,"ropa","Santiago","Talca",527.9,"rural",2023-11-08,"miercoles","november",10,FALSE,5,"camion_mediano",4,7428,"lluvia",2,18.7,"Si"
"ENV00077",43.3,2.49,154014,"ropa","Concepción","Valparaíso",865.2,"urbana",2023-07-14,"viernes","july",8,FALSE,24,"camion_pequeno",0,3006,"lluvia",7,30.5,"No"
"ENV00078",31.9,3.01,132024,"alimentos","Valparaíso","Chillán",1483.6,"urbana",2023-08-17,"jueves","august",18,FALSE,4,"furgon",5,1097,"viento",9,43.5,"No"
"ENV00079",8.3,2.68,91032,"muebles","Santiago","Valparaíso",135.6,"urbana",2023-03-08,"miercoles","march",14,FALSE,11,"camion_mediano",5,6994,"nublado",10,5.9,"No"
"ENV00080",6.7,2.65,43510,"muebles","Antofagasta","Concepción",206,"urbana",2023-04-28,"viernes","april",9,FALSE,0,"camion_mediano",9,6493,"viento",10,10.4,"No"
"ENV00081",91.2,32.48,925678,"electronica","Concepción","Concepción",25.1,"urbana",2023-06-17,"sabado","june",10,FALSE,3,"camion_grande",13,10582,"lluvia",4,5,"No"
"ENV00082",26,3.36,137348,"ropa","Santiago","Puerto Montt",948.2,"urbana",2023-08-10,"jueves","august",11,FALSE,1,"camion_grande",10,14895,"despejado",6,24.9,"Si"
"ENV00083",21.9,7.18,219898,"alimentos","Santiago","Santiago",14.4,"urbana",2023-08-17,"jueves","august",6,FALSE,1,"camion_mediano",5,7483,"lluvia",6,3.1,"Si"
"ENV00084",17.8,6.74,230839,"otros","Valparaíso","Osorno",873.8,"rural",2023-01-14,"sabado","january",10,FALSE,2,"camion_mediano",5,6593,"lluvia",2,25.7,"Si"
"ENV00085",6.1,4.5,159468,"ropa","Santiago","Iquique",280.9,"rural",2023-01-11,"miercoles","january",9,FALSE,16,"camion_pequeno",3,2148,"despejado",2,6.8,"No"
"ENV00086",37,7.92,219783,"otros","Santiago","Valdivia",577.1,"urbana",2023-03-08,"miercoles","march",13,FALSE,0,"furgon",3,1195,"nublado",5,13.4,"No"
"ENV00087",16.2,3.72,179107,"otros","Santiago","La Serena",1069.8,"urbana",2023-06-11,"domingo","june",10,FALSE,6,"furgon",1,925,"nublado",5,22.6,"No"
"ENV00088",16.7,3.11,85924,"muebles","Santiago","Valparaíso",136.1,"urbana",2023-06-09,"viernes","june",14,FALSE,10,"camion_pequeno",2,2309,"despejado",8,4.7,"No"
"ENV00089",51.1,5.17,111423,"documentos","Valparaíso","Talca",1140.9,"rural",2023-08-11,"viernes","august",14,FALSE,3,"camion_mediano",7,7689,"despejado",1,22.3,"Si"
"ENV00090",45.7,8.54,139352,"otros","Temuco","Santiago",1294.7,"urbana",2023-01-03,"martes","january",12,FALSE,6,"camion_mediano",10,7265,"despejado",7,33.4,"No"
"ENV00091",80.8,4.05,176618,"muebles","Santiago","Antofagasta",1475.9,"urbana",2023-08-26,"sabado","august",11,FALSE,13,"camion_mediano",4,5990,"lluvia",6,48,"Si"
"ENV00092",12.5,10.66,145242,"electronica","Puerto Montt","Santiago",880.5,"rural",2023-05-22,"lunes","may",14,FALSE,2,"furgon",3,876,"lluvia",5,29.6,"Si"
"ENV00093",38.5,6.82,289668,"electronica","Concepción","Santiago",510.3,"urbana",2023-02-13,"lunes","february",10,FALSE,7,"camion_grande",8,11580,"lluvia",6,21.8,"No"
"ENV00094",80.7,2.29,79295,"ropa","Santiago","Copiapó",127.4,"urbana",2023-09-10,"domingo","september",17,FALSE,6,"camion_grande",6,12047,"lluvia",5,9,"No"
"ENV00095",6.6,1.74,71103,"otros","Santiago","Valdivia",763.3,"urbana",2023-12-31,"domingo","december",13,FALSE,8,"camion_pequeno",10,2293,"despejado",6,18.8,"No"
"ENV00096",8.5,1.02,46480,"ropa","Calama","Chillán",100.6,"rural",2023-05-27,"sabado","may",11,FALSE,8,"camion_mediano",12,5513,"lluvia",4,7.8,"No"
"ENV00097",6.5,7.8,294187,"alimentos","Antofagasta","Santiago",1405.8,"urbana",2023-01-22,"domingo","january",14,FALSE,7,"camion_mediano",6,6321,"despejado",4,28.6,"No"
"ENV00098",4.7,4.53,163889,"electronica","Santiago","Valdivia",1167,"urbana",2023-02-24,"viernes","february",7,FALSE,25,"camion_grande",13,10681,"despejado",10,38.5,"No"
"ENV00099",21.8,2.15,81975,"alimentos","Santiago","Santiago",19.4,"urbana",2023-07-09,"domingo","july",9,FALSE,2,"camion_pequeno",8,2294,"lluvia",9,3.7,"No"
"ENV00100",38.6,9.6,222254,"ropa","Santiago","Concepción",508.2,"urbana",2023-06-25,"domingo","june",13,FALSE,21,"camion_mediano",8,5283,"lluvia",6,20.7,"No"
"ENV00101",66.8,11.56,504204,"electronica","Los Ángeles","Calama",1077.6,"urbana",2023-01-22,"domingo","january",18,FALSE,3,"camion_pequeno",2,3382,"nublado",6,27.2,"No"
"ENV00102",57.1,7.36,164188,"otros","Antofagasta","Calama",657.9,"urbana",2023-04-07,"viernes","april",11,TRUE,7,"furgon",4,913,"viento",10,17.4,"Si"
"ENV00103",7.4,10.2,391481,"electronica","Puerto Montt","Valparaíso",1349.7,"rural",2023-05-17,"miercoles","may",7,FALSE,8,"furgon",4,1041,"nublado",2,26.8,"No"
"ENV00104",127.5,1.57,73675,"ropa","Talca","Concepción",910.8,"rural",2023-10-05,"jueves","october",11,FALSE,0,"camion_grande",11,12108,"lluvia",2,29.8,"No"
"ENV00105",10.3,5.49,136994,"ropa","Santiago","Los Ángeles",537.9,"urbana",2023-07-11,"martes","july",20,FALSE,25,"camion_grande",9,12117,"lluvia",10,28.1,"Si"
"ENV00106",22.3,2.01,92483,"ropa","Temuco","Santiago",312.3,"urbana",2023-03-20,"lunes","march",11,FALSE,5,"camion_grande",12,12215,"nublado",7,12.3,"No"
"ENV00107",13.2,5.55,92097,"ropa","Concepción","Santiago",519.7,"urbana",2023-05-25,"jueves","may",11,FALSE,8,"camion_pequeno",2,2354,"despejado",10,14.9,"No"
"ENV00108",17.8,5.23,239838,"otros","Santiago","Antofagasta",319.8,"urbana",2023-05-19,"viernes","may",21,FALSE,2,"camion_mediano",8,5721,"nublado",6,9.9,"No"
"ENV00109",24.2,6.34,275329,"otros","Talca","Calama",1159.6,"rural",2023-12-06,"miercoles","december",8,FALSE,5,"camion_grande",9,12515,"lluvia",2,36.3,"Si"
"ENV00110",22.6,11.94,345999,"documentos","Santiago","Santiago",17,"urbana",2023-01-29,"domingo","january",15,FALSE,2,"furgon",1,1071,"nublado",3,1.9,"No"
"ENV00111",19.6,1.64,44047,"alimentos","Antofagasta","Santiago",796.2,"urbana",2023-01-08,"domingo","january",11,FALSE,5,"camion_mediano",4,7732,"lluvia",6,26.9,"No"
"ENV00112",22.4,11.72,167131,"ropa","Osorno","Valdivia",474.3,"urbana",2023-02-09,"jueves","february",6,FALSE,12,"camion_grande",11,12380,"despejado",7,13.8,"No"
"ENV00113",12.4,8.29,316767,"electronica","Concepción","Santiago",508.9,"urbana",2023-07-01,"sabado","july",10,FALSE,3,"camion_grande",6,13243,"lluvia",6,20.9,"No"
"ENV00114",12.1,5.06,198254,"documentos","Talca","La Serena",595,"urbana",2023-05-04,"jueves","may",18,FALSE,3,"furgon",5,975,"despejado",8,15,"No"
"ENV00115",3.8,10.06,347228,"muebles","Concepción","Santiago",509.2,"urbana",2023-11-25,"sabado","november",8,FALSE,12,"camion_mediano",7,7563,"lluvia",10,22.1,"Si"
"ENV00116",13.7,9.63,444478,"otros","Santiago","Talca",392.2,"urbana",2023-02-10,"viernes","february",14,FALSE,7,"camion_pequeno",3,2181,"despejado",7,10.7,"No"
"ENV00117",12,3.91,71062,"alimentos","Copiapó","Santiago",1053.9,"rural",2023-01-08,"domingo","january",9,FALSE,7,"furgon",1,820,"despejado",3,21.1,"No"
"ENV00118",299.4,8.1,313728,"ropa","Temuco","Antofagasta",387.3,"urbana",2023-04-18,"martes","april",7,FALSE,7,"camion_pequeno",6,3311,"nublado",10,13.4,"No"
"ENV00119",5.1,2.37,48269,"documentos","Santiago","Santiago",10.9,"urbana",2023-11-02,"jueves","november",12,FALSE,24,"camion_pequeno",4,3268,"despejado",7,1.5,"No"
"ENV00120",23,6.11,124480,"alimentos","Santiago","Antofagasta",798.1,"urbana",2023-12-06,"miercoles","december",11,FALSE,1,"furgon",4,994,"despejado",NA,15.8,"No"
"ENV00121",4.5,0.99,30089,"muebles","Santiago","Talca",601.6,"rural",2023-03-16,"jueves","march",8,FALSE,2,"camion_pequeno",10,3116,"nublado",5,16.5,"No"
"ENV00122",4.6,10.43,489691,"muebles","Valdivia","Valdivia",21.4,"rural",2023-05-23,"martes","may",14,FALSE,13,"camion_mediano",7,7311,"nublado",1,3,"No"
"ENV00123",22.8,12.91,255989,"alimentos","La Serena","Concepción",664.9,"urbana",2023-01-11,"miercoles","january",9,FALSE,13,"camion_pequeno",5,2452,"nublado",10,21,"Si"
"ENV00124",7.4,2.43,97611,"otros","Santiago","Concepción",505.9,"urbana",2023-01-24,"martes","january",10,FALSE,10,"camion_pequeno",5,2396,"despejado",10,15,"No"
"ENV00125",20,2.73,NA,"ropa","Santiago","Osorno",1214.4,"urbana",2023-04-28,"viernes","april",9,FALSE,1,"camion_grande",9,10276,"nublado",7,37.3,"No"
"ENV00126",13.1,4.18,188022,"muebles","Santiago","Valdivia",215.1,"rural",2023-04-24,"lunes","april",13,FALSE,3,"camion_pequeno",8,2865,"viento",3,6.7,"No"
"ENV00127",10.9,7.37,296635,"alimentos","Copiapó","Chillán",1225.1,"urbana",2023-03-22,"miercoles","march",12,FALSE,7,"camion_grande",12,10691,"lluvia",9,55.6,"No"
"ENV00128",2.7,21.5,692320,"documentos","Temuco","Valparaíso",758.4,"rural",2023-11-11,"sabado","november",9,FALSE,0,"camion_pequeno",4,3414,"despejado",4,19,"No"
"ENV00129",5.9,9.58,187805,"otros","Valparaíso","Santiago",130.6,"urbana",2023-10-30,"lunes","october",15,FALSE,2,"camion_grande",13,13654,"nublado",6,7.7,"No"
"ENV00130",24,7.45,102779,"otros","Santiago","Temuco",1080.4,"rural",2023-10-22,"domingo","october",13,FALSE,2,"camion_pequeno",4,2763,"lluvia",3,31.5,"Si"
"ENV00131",35.4,7.27,245119,"alimentos","Talca","Valparaíso",1377.5,"urbana",2023-07-28,"viernes","july",11,FALSE,7,"camion_pequeno",7,3184,"despejado",NA,34.6,"Si"
"ENV00132",12.3,3.7,174490,"ropa","Concepción","La Serena",696.1,"urbana",2023-03-22,"miercoles","march",9,FALSE,1,"camion_grande",13,12271,NA,10,24.4,"Si"
"ENV00133",20.1,0.9,22722,"documentos","Santiago","Valdivia",1291.9,"urbana",2023-01-12,"jueves","january",14,FALSE,2,"camion_grande",16,10211,"nublado",8,43.4,"No"
"ENV00134",61.7,0.94,37982,"ropa","Puerto Montt","Santiago",351.2,"urbana",2023-06-23,"viernes","june",16,FALSE,NA,"camion_mediano",7,5269,"despejado",10,12.3,"Si"
"ENV00135",84.8,16.21,236106,"documentos","Santiago","Puerto Montt",181.1,"rural",2023-01-20,"viernes","january",16,FALSE,0,"camion_grande",13,11726,"despejado",4,6.4,"Si"
"ENV00136",6.7,7.47,142913,"ropa","Santiago","Talca",341.3,"urbana",2023-08-05,"sabado","august",10,FALSE,9,"camion_pequeno",3,2018,"lluvia",8,13,"Si"
"ENV00137",17.9,6.07,129137,"alimentos","Valparaíso","Concepción",432.8,"urbana",2023-08-19,"sabado","august",13,FALSE,8,"camion_pequeno",9,3298,"lluvia",NA,17.6,"No"
"ENV00138",66.8,7.91,107365,"muebles","Antofagasta","Santiago",336.9,"urbana",2023-11-14,"martes","november",9,FALSE,5,"camion_pequeno",5,3242,"despejado",10,10.3,"No"
"ENV00139",12.6,3.27,36209,"muebles","Talca","Santiago",1169,"urbana",2023-07-10,"lunes","july",7,FALSE,3,"camion_pequeno",9,2799,"lluvia",10,47.7,"Si"
"ENV00140",19.1,3.27,153368,"muebles","Antofagasta","Concepción",899,"urbana",2023-07-13,"jueves","july",13,FALSE,5,"camion_pequeno",5,2047,"nublado",9,27.7,"No"
"ENV00141",18.4,11.23,563278,"ropa","Santiago","Santiago",27.2,"urbana",2023-08-06,"domingo","august",8,FALSE,1,"camion_mediano",5,5494,"lluvia",7,5.6,"No"
"ENV00142",8.3,3.34,126988,"otros","Puerto Montt","Temuco",186.9,"urbana",2023-10-25,"miercoles","october",12,FALSE,2,"camion_mediano",7,5176,"despejado",7,7.4,"No"
"ENV00143",12.9,2.18,39122,"alimentos","Temuco","Concepción",468.9,"rural",2023-08-26,"sabado","august",12,FALSE,8,"camion_mediano",8,7959,"despejado",3,12.3,"Si"
"ENV00144",19.5,4.05,57627,"electronica","Valdivia","La Serena",202.3,"rural",2023-03-08,"miercoles","march",6,FALSE,3,"camion_pequeno",4,3215,"despejado",6,8.2,"No"
"ENV00145",13.3,2.86,79694,"documentos","Temuco","Valparaíso",1376.8,"urbana",2023-09-07,"jueves","september",8,FALSE,10,"camion_mediano",6,7095,"nublado",7,38.5,"No"
"ENV00146",61.2,9.73,276560,"ropa","Valdivia","Iquique",339.9,"urbana",2023-05-25,"jueves","may",9,FALSE,13,"camion_pequeno",1,2054,"lluvia",10,16.6,"Si"
